Timestamp,/zed2i/zed_node/depth/camera_info,/zed2i/zed_node/right/image_rect_color,/zed2i/zed_node/confidence/confidence_map,/transformed_point_cloud,/islam/vlp_odom,/piksi/navsatfix_best_fix,/jackal_velocity_controller/odom,/zed2i/zed_node/imu/mag,/zed2i/zed_node/pose,/cumulative_origin_point_cloud,/microstrain/imu/data,/velodyne_points,/transformed_odom,/zed2i/zed_node/depth/depth_registered,/zed2i/zed_node/left/image_rect_color,/zed2i/zed_node/left/camera_info,/islam/vlp_pts,/zed2i/zed_node/imu/data,/microstrain/mag,/cumulative_point_cloud,/zed2i/zed_node/right/camera_info,Timestamp_Variance_sec
1750363285.881457,1689715621.6497457,1689715621.6497457,1689715621.6497457,1689715621.764738,1689715621.7428913,1689715621.709901,1689715621.7428913,1689715621.7453256,1689715621.7497396,1689715621.764738,1689715621.777,1689715621.764738,1689715621.7628262,1689715621.6497457,1689715621.7497396,1689715621.7497396,1689715621.764738,1689715621.7806756,1689715621.777,1689715621.764738,1689715621.6497457,0.0023046615766669936
1750363286.9113042,1689715621.7497396,1689715621.7497396,1689715621.7497396,1689715621.865571,1689715621.842976,1689715621.806772,1689715621.842976,1689715621.8463256,1689715621.8497198,1689715621.865571,1689715621.879,1689715621.865571,1689715621.842976,1689715621.7497396,1689715621.8497198,1689715621.7497396,1689715621.865571,1689715621.8842006,1689715621.879,1689715621.865571,1689715621.7497396,0.002595256777204841
1750363287.9080982,1689715621.8497198,1689715621.8497198,1689715621.8497198,1689715621.966435,1689715621.9627979,1689715621.907494,1689715621.9430058,1689715621.9473257,1689715621.9497478,1689715621.966435,1689715621.974,1689715621.966435,1689715621.9228892,1689715621.8497198,1689715621.9497478,1689715621.8497198,1689715621.966435,1689715621.9852006,1689715621.974,1689715621.966435,1689715621.8497198,0.002608466355898794
1750363288.9304104,1689715621.9497478,1689715621.9497478,1689715621.9497478,1689715622.067575,1689715622.062836,1689715622.104248,1689715622.0443923,1689715622.0483255,1689715622.0502307,1689715622.067575,1689715622.072,1689715622.067575,1689715622.062836,1689715621.9497478,1689715622.0502307,1689715621.9497478,1689715622.067575,1689715622.0836756,1689715622.072,1689715622.067575,1689715621.9497478,0.002904105131771454
1750363289.9084108,1689715622.0502307,1689715622.0502307,1689715622.0502307,1689715622.168159,1689715622.1439195,1689715622.20509,1689715622.1439195,1689715622.1493256,1689715622.1497216,1689715622.168159,1689715622.179,1689715622.168159,1689715622.1439195,1689715622.0502307,1689715622.1497216,1689715622.1497216,1689715622.168159,1689715622.1846757,1689715622.179,1689715622.168159,1689715622.0502307,0.0025578508707819005
1750363290.8742182,1689715622.1497216,1689715622.1497216,1689715622.1497216,1689715622.268996,1689715622.24285,1689715622.31895,1689715622.24285,1689715622.2503257,1689715622.2499406,1689715622.268996,1689715622.274,1689715622.268996,1689715622.2227933,1689715622.1497216,1689715622.2499406,1689715622.0502307,1689715622.268996,1689715622.2806256,1689715622.274,1689715622.268996,1689715622.1497216,0.0041798608887688715
1750363291.929846,1689715622.2499406,1689715622.2499406,1689715622.2499406,1689715622.369758,1689715622.3429005,1689715622.402635,1689715622.3429005,1689715622.3513258,1689715622.3496978,1689715622.369758,1689715622.377,1689715622.369758,1689715622.3628232,1689715622.2499406,1689715622.3496978,1689715622.2499406,1689715622.369758,1689715622.3841507,1689715622.377,1689715622.369758,1689715622.2499406,0.002926872489689729
1750363292.8858635,1689715622.3496978,1689715622.3496978,1689715622.3496978,1689715622.470689,1689715622.443032,1689715622.507379,1689715622.443032,1689715622.4523256,1689715622.4510686,1689715622.470689,1689715622.479,1689715622.470689,1689715622.443032,1689715622.3496978,1689715622.4510686,1689715622.3496978,1689715622.470689,1689715622.4801006,1689715622.479,1689715622.470689,1689715622.3496978,0.002954365842505186
1750363293.8904433,1689715622.4510686,1689715622.4510686,1689715622.4510686,1689715622.571584,1689715622.5428507,1689715622.599792,1689715622.5428507,1689715622.5533257,1689715622.5496907,1689715622.571584,1689715622.574,1689715622.571584,1689715622.5228434,1689715622.4510686,1689715622.5496907,1689715622.4510686,1689715622.571584,1689715622.5836256,1689715622.574,1689715622.571584,1689715622.4510686,0.0028243818563336866
1750363294.8847759,1689715622.5496907,1689715622.5496907,1689715622.5496907,1689715622.672383,1689715622.662841,1689715622.706049,1689715622.6430242,1689715622.6543257,1689715622.6497056,1689715622.672383,1689715622.677,1689715622.672383,1689715622.662841,1689715622.5496907,1689715622.6497056,1689715622.5496907,1689715622.672383,1689715622.6846256,1689715622.677,1689715622.672383,1689715622.5496907,0.003052852055746024
1750363295.8940253,1689715622.6497056,1689715622.6497056,1689715622.6497056,1689715622.77318,1689715622.742843,1689715622.808948,1689715622.742843,1689715622.7553256,1689715622.7497578,1689715622.77318,1689715622.779,1689715622.77318,1689715622.742843,1689715622.6497056,1689715622.7497578,1689715622.6497056,1689715622.77318,1689715622.7856257,1689715622.779,1689715622.77318,1689715622.6497056,0.0030389416833524288
1750363296.8868892,1689715622.7497578,1689715622.7497578,1689715622.7497578,1689715622.874041,1689715622.8628976,1689715622.914379,1689715622.8437002,1689715622.8563256,1689715622.8497047,1689715622.874041,1689715622.879,1689715622.874041,1689715622.8228526,1689715622.7497578,1689715622.8497047,1689715622.8497047,1689715622.874041,1689715622.8841007,1689715622.879,1689715622.874041,1689715622.7497578,0.0027795539591065357
1750363297.884848,1689715622.8497047,1689715622.8497047,1689715622.8497047,1689715622.974985,1689715622.9628625,1689715622.994968,1689715622.9428465,1689715622.9573257,1689715622.9496958,1689715622.974985,1689715622.982,1689715622.974985,1689715622.9628625,1689715622.8497047,1689715622.9496958,1689715622.9496958,1689715622.974985,1689715622.9851007,1689715622.982,1689715622.974985,1689715622.8497047,0.002719278445294462
1750363298.896949,1689715622.9496958,1689715622.9496958,1689715622.9496958,1689715623.07587,1689715623.0428798,1689715623.111317,1689715623.0428798,1689715623.0583255,1689715623.0506246,1689715623.07587,1689715623.079,1689715623.07587,1689715623.0428798,1689715622.9496958,1689715623.0506246,1689715623.0506246,1689715623.07587,1689715623.0861006,1689715623.079,1689715623.07587,1689715622.9496958,0.0027688072860828903
1750363299.940628,1689715623.0506246,1689715623.0506246,1689715623.0506246,1689715623.176705,1689715623.142865,1689715623.200678,1689715623.142865,1689715623.1593256,1689715623.1501586,1689715619.64688,1689715623.182,1689715623.176705,1689715619.622894,1689715623.0506246,1689715623.1501586,1689715623.0506246,1689715623.176705,1689715623.1845756,1689715623.182,1689715623.176705,1689715623.0506246,1.0566847661041212
1750363300.9039996,1689715623.1501586,1689715623.1501586,1689715623.1501586,1689715623.277523,1689715623.2428582,1689715623.313864,1689715623.2428582,1689715623.2401257,1689715623.2496967,1689715623.176705,1689715623.277,1689715623.277523,1689715623.162844,1689715623.1501586,1689715623.2496967,1689715623.2496967,1689715623.277523,1689715623.2855756,1689715623.277,1689715623.277523,1689715623.1501586,0.003066385439250921
1750363301.9149776,1689715623.2496967,1689715623.2496967,1689715623.2496967,1689715623.378359,1689715623.3429484,1689715623.420038,1689715623.3429484,1689715623.3411257,1689715623.3496988,1689715623.378359,1689715623.384,1689715623.378359,1689715623.3628423,1689715623.2496967,1689715623.3496988,1689715623.1501586,1689715623.378359,1689715623.3840506,1689715623.384,1689715623.378359,1689715623.2496967,0.004544310085504678
1750363302.9151578,1689715623.3496988,1689715623.3496988,1689715623.3496988,1689715623.47925,1689715623.4429624,1689715623.51221,1689715623.4429624,1689715623.4421256,1689715623.4497037,1689715623.47925,1689715623.474,1689715623.47925,1689715623.4628472,1689715623.3496988,1689715623.4497037,1689715623.3496988,1689715623.47925,1689715623.4850507,1689715623.474,1689715623.47925,1689715623.3496988,0.0031590840804477964
1750363303.9127655,1689715623.4497037,1689715623.4497037,1689715623.4497037,1689715623.580196,1689715623.5429053,1689715623.601706,1689715623.5429053,1689715623.5431256,1689715623.5496807,1689715623.277523,1689715623.577,1689715623.580196,1689715623.2428582,1689715623.4497037,1689715623.5496807,1689715623.4497037,1689715623.580196,1689715623.5810006,1689715623.577,1689715623.580196,1689715623.4497037,0.00929732904417809
1750363304.8955092,1689715623.5496807,1689715623.5496807,1689715623.5496807,1689715623.680952,1689715623.642903,1689715623.705925,1689715623.642903,1689715623.6441257,1689715623.6496947,1689715623.680952,1689715623.672,1689715623.680952,1689715623.642903,1689715623.5496807,1689715623.6496947,1689715623.5496807,1689715623.680952,1689715623.6820006,1689715623.672,1689715623.680952,1689715623.5496807,0.0030893728544442852
1750363305.9396226,1689715623.6496947,1689715623.6496947,1689715623.6496947,1689715623.781843,1689715623.7429268,1689715623.804886,1689715623.7429268,1689715623.7451255,1689715623.7496908,1689715623.781843,1689715623.782,1689715623.781843,1689715623.7628963,1689715623.6496947,1689715623.7496908,1689715623.7496908,1689715623.781843,1689715623.7880507,1689715623.782,1689715623.781843,1689715623.6496947,0.002876722330272839
1750363306.9436758,1689715623.7496908,1689715623.7496908,1689715623.7496908,1689715623.882588,1689715623.8436093,1689715623.910505,1689715623.8436093,1689715623.8461256,1689715623.8498938,1689715623.882588,1689715623.882,1689715623.882588,1689715623.8436093,1689715623.7496908,1689715623.8498938,1689715623.8498938,1689715623.882588,1689715623.8814757,1689715623.882,1689715623.882588,1689715623.7496908,0.0028779107933885263
1750363307.908624,1689715623.8498938,1689715623.8498938,1689715623.8498938,1689715623.983593,1689715623.9628475,1689715624.003855,1689715623.9428167,1689715623.9471257,1689715623.9496877,1689715623.983593,1689715623.979,1689715623.983593,1689715623.9828465,1689715623.8498938,1689715623.9496877,1689715623.8498938,1689715623.983593,1689715623.9824755,1689715623.979,1689715623.983593,1689715623.8498938,0.0033169038270990485
1750363308.9112191,1689715623.9496877,1689715623.9496877,1689715623.9496877,1689715624.084389,1689715624.0428534,1689715624.106379,1689715624.0428534,1689715624.0481257,1689715624.0500467,1689715624.084389,1689715624.082,1689715624.084389,1689715624.062841,1689715623.9496877,1689715624.0500467,1689715624.0500467,1689715624.084389,1689715624.0809507,1689715624.082,1689715624.084389,1689715623.9496877,0.0029101267422788624
1750363309.9292762,1689715624.0500467,1689715624.0500467,1689715624.0500467,1689715624.185225,1689715624.1428742,1689715624.200942,1689715624.1428742,1689715624.1491256,1689715624.1496997,1689715624.185225,1689715624.177,1689715624.185225,1689715624.1428742,1689715624.0500467,1689715624.1496997,1689715624.1496997,1689715624.185225,1689715624.1819506,1689715624.177,1689715624.185225,1689715624.0500467,0.0028231716612589523
1750363310.9130175,1689715624.1496997,1689715624.1496997,1689715624.1496997,1689715624.286245,1689715624.2429569,1689715624.31416,1689715624.2429569,1689715624.2501256,1689715624.2501898,1689715623.580196,1689715624.279,1689715624.286245,1689715623.5429053,1689715624.1496997,1689715624.2501898,1689715624.2501898,1689715624.286245,1689715624.2880006,1689715624.279,1689715624.286245,1689715624.1496997,0.042458994185107624
1750363311.9110577,1689715624.2501898,1689715624.2501898,1689715624.2501898,1689715624.386966,1689715624.3428454,1689715624.408156,1689715624.3428454,1689715624.3511257,1689715624.3497016,1689715624.286245,1689715624.382,1689715624.386966,1689715624.2831519,1689715624.2501898,1689715624.3497016,1689715624.1496997,1689715624.386966,1689715624.3814256,1689715624.382,1689715624.386966,1689715624.2501898,0.0045927485018962344
1750363312.970695,1689715624.3497016,1689715624.3497016,1689715624.3497016,1689715624.487729,1689715624.442906,1689715624.505501,1689715624.442906,1689715624.4521255,1689715624.4496837,1689715624.487729,1689715624.482,1689715624.487729,1689715624.442906,1689715624.3497016,1689715624.4496837,1689715624.4496837,1689715624.487729,1689715624.4925256,1689715624.482,1689715624.487729,1689715624.3497016,0.0030056002081740494
1750363313.9233127,1689715624.4496837,1689715624.4496837,1689715624.4496837,1689715624.588677,1689715624.563067,1689715624.614728,1689715624.5432217,1689715624.5531256,1689715624.5496888,1689715624.386966,1689715624.579,1689715624.588677,1689715624.3628736,1689715624.4496837,1689715624.5496888,1689715624.3497016,1689715624.588677,1689715624.5809007,1689715624.579,1689715624.588677,1689715624.4496837,0.006635744815552937
1750363314.9334195,1689715624.5496888,1689715624.5496888,1689715624.5496888,1689715624.689519,1689715624.6428747,1689715624.707794,1689715624.6428747,1689715624.6541257,1689715624.6496847,1689715624.588677,1689715624.682,1689715624.689519,1689715624.563067,1689715624.5496888,1689715624.6496847,1689715624.5496888,1689715624.689519,1689715624.6869507,1689715624.682,1689715624.689519,1689715624.5496888,0.0035914854921196863
1750363315.9044862,1689715624.6496847,1689715624.6496847,1689715624.6496847,1689715624.79045,1689715624.7428544,1689715624.804208,1689715624.7428544,1689715624.7551255,1689715624.7496867,1689715624.689519,1689715624.777,1689715624.79045,1689715624.682842,1689715624.6496847,1689715624.7496867,1689715624.7496867,1689715624.79045,1689715624.7829006,1689715624.777,1689715624.79045,1689715624.6496847,0.0031070123514983345
1750363316.9202282,1689715624.7496867,1689715624.7496867,1689715624.7496867,1689715624.891194,1689715624.8431313,1689715624.914242,1689715624.8431313,1689715624.8561256,1689715624.8497348,1689715624.79045,1689715624.879,1689715624.891194,1689715624.7428544,1689715624.7496867,1689715624.8497348,1689715624.8497348,1689715624.891194,1689715624.8864257,1689715624.879,1689715624.891194,1689715624.7496867,0.0034978375504476304
1750363317.9022586,1689715624.8497348,1689715624.8497348,1689715624.8497348,1689715624.992089,1689715624.9431655,1689715625.002908,1689715624.9431655,1689715624.9571257,1689715624.9496927,1689715624.891194,1689715624.974,1689715624.992089,1689715624.8828492,1689715624.8497348,1689715624.9496927,1689715624.8497348,1689715624.992089,1689715624.9823756,1689715624.974,1689715619.64688,1689715624.8497348,1.2672333391532302
